"TARGET"	"ANT_PM"	"EDAD"	"PROM_SALDO_ACTIVO_TOTAL_ULT_3M"	"PROM_NUM_PCON_ULT_6M"	"PROM_CUOTA_PCON_ULT_6M"	"PROM_IMP_NOMINA_ULT_6M"	"DELTA_IMP_NOMINA_0_5"	"PROM_TEN_PASIVO_ULT_6M"	"DELTA_SALDO_PASIVO_TOTAL_0_5"	"MAX_SALDO_PASIVO_TOTAL_ULT_6M"	"PROM_SALDO_MEDIO_CAHO_ULT_6M"	"PROM_SALDO_PASIVO_TOTAL_ULT_3M"	"PROM_TARJETAS_AJENAS_ULT_6M"	"PROM_NUMERO_ENTIDADES_ULT_6M"	"PROM_SCORE_RIESGO_ULT_3M"	"DELTA_LIMITE_LINEA_TDC_0_5"	"PROM_LIMITE_LINEA_TDC_ULT_1M"	"PROM_LINEA_DISPONIBLE_TDC_ULT_3M"	"PROM_SALDO_ACTUAL_TDC_ULT_1M"	"PROM_SALDO_CUOTAS_TDC_ULT_6M"	"PROM_IMPORTE_TDC_ULT_3M"	"PROM_NUM_OPERS_TDC_ULT_6M"
0	172	73	0	0	0	0	0	1	-0.0136066138477437	5806	5766.33333333333	5742.66666666667	0	0	0	0	0	0	0	0	0	0
0	106	62	0	0	0	10600	9999999	1	99.2888482632541	109716	21089	39264	3	4	1	0	60000	18000.9300130208	48597.328125	3364.41341145833	5094.75515365601	2.5
0	156	52	0	0	0	6584	0	1	0.101433218612984	46725	43992.8333333333	45050	0	0	0	0	0	0	0	0	0	0
0	108	64	0	0	0	6238.33333333333	-0.524360322467578	1	-0.216754320060105	9173	4987.16666666667	2439.66666666667	3	5.333333333333	1.333333333333	0	0	0	0	0	0	0
0	159	58	152440.333333333	0	0	8402.83333333333	0.297922216302611	1	0.180064804814072	61184	52633.8333333333	55173.3333333333	3	5	1	0	85600	10000	0	0	7108.8934879303	20
0	158	64	0	0	0	0	0	1	-0.959118203504154	12157	5372.16666666667	910.333333333333	2	2	1	0	0	0	0	0	0	0
0	162	56	0	0	0	2217	-1	0.666666666666	-1	1489	0	494.333333333333	2.166666666666	3	0	0	0	0	0	0	0	0
0	101	59	0	0	0	0	0	1	-0.227882037533512	746	661.166666666667	610.333333333333	0	1	3	0	0	0	0	0	0	0
0	121	61	0	0	0	0	0	1	-0.0000280316196669844	35730	0	35692	0	1	1	0	32640	31915.142578125	639.580017089844	0	466.66667175293	2.666666666666
0	37	55	0	0	0	2004.16666666667	-0.0102409638554217	1	-0.523023181962528	3882	2216.33333333333	1432	0	1	1	0	0	0	0	0	0	0
0	26	61	153605	1	365	6611	0.408931155675005	1	-0.276105060858424	12000	4375.5	5673.66666666667	0	1	1	0	0	0	0	0	0	0
0	151	66	15767.6666666667	1	1030	9540.66666666667	0.905939054726368	0.833333333333	9999999	8303	2622.33333333333	5052.66666666667	2	3	2	0	20000	20000	0	0	0	0
0	0	61	0	0	0	2540.16666666667	0.000757193336698637	1	-0.471672661870504	2575	1725.83333333333	1489.66666666667	0.666666666666	2.166666666666	1	0	0	0	0	0	0	0
0	114	60	0	0	0	4768.5	0.0367867867867868	1	0.0906965459437999	25682	18855.8333333333	23211.3333333333	4	6	2	0	32000	0	0	0	1854.88000488281	2.5
0	163	50	0	0	0	3925.83333333333	0.133268482490272	1	1.27252252252252	1042	654.166666666667	667	2.333333333333	5.166666666666	1	0	0	0	0	0	0	0
0	3	61	0	0	0	6703.83333333333	0.702544847726325	1	0.156131861484954	15291	13135.1666666667	13653.6666666667	3	5	1	0	28400	28400	0	0	0	0
0	152	56	0	0	0	5773.16666666667	0.0306247447937934	1	0.175407545412203	52169	33954.8333333333	49631.6666666667	2.666666666666	4	2.333333333333	0	9800	4429.08666992188	4193.77001953125	0	221.349998474121	2
0	161	52	0	0	0	5916.83333333333	-0.626506024096386	1	-0.292593822650282	3011	1264.33333333333	1464.66666666667	1	1.666666666666	1	9999999	5000	5000	0	0	0	0
